id,tested_positive
0,19.730331
1,3.0092733
2,3.0031073
3,10.569313
4,3.0897539
5,28.408985
6,26.258848
7,6.3838506
8,11.001043
9,8.400461
10,17.797901
11,20.083931
12,22.543953
13,12.64381
14,20.643044
15,18.701042
16,28.332333
17,7.644191
18,22.422846
19,3.3204408
20,4.7845583
21,24.387047
22,18.207323
23,12.511154
24,11.648842
25,28.254482
26,25.652822
27,27.026876
28,6.1572742
29,19.505545
30,10.11912
31,6.7743406
32,27.469736
33,11.587276
34,21.588144
35,31.07235
36,12.682398
37,7.1222763
38,15.302824
39,8.051286
40,14.868389
41,4.9230075
42,7.5359697
43,17.704947
44,6.3770933
45,16.184465
46,14.489443
47,3.4733171
48,6.3493
49,15.745489
50,16.658827
51,13.114307
52,13.248138
53,7.215043
54,13.01206
55,30.111298
56,9.113249
57,15.746334
58,33.210594
59,10.643337
60,19.798344
61,22.524618
62,25.974434
63,22.829718
64,17.908167
65,4.1477413
66,13.365353
67,23.372635
68,33.068016
69,16.921852
70,19.539421
71,16.304379
72,12.265602
73,25.278292
74,10.67561
75,2.596376
76,18.235937
77,12.649466
78,8.162391
79,6.103258
80,17.753544
81,10.596754
82,10.998335
83,14.826157
84,8.898891
85,17.171638
86,23.468231
87,10.697739
88,6.351081
89,17.40525
90,28.202492
91,35.149433
92,17.175028
93,5.435425
94,11.328526
95,11.607729
96,11.200855
97,23.264585
98,11.226631
99,10.550962
100,4.6487317
101,6.34496
102,15.274912
103,12.605961
104,3.215125
105,31.86064
106,28.548481
107,11.146967
108,20.027954
109,9.17823
110,14.001701
111,6.2982683
112,20.017542
113,24.223825
114,15.150377
115,9.909288
116,9.08823
117,29.57183
118,19.311005
119,11.488192
120,11.605051
121,23.60952
122,8.514388
123,19.697067
124,32.503586
125,11.041677
126,11.093462
127,6.247359
128,3.6012692
129,10.678574
130,17.4605
131,12.858091
132,12.839424
133,15.296511
134,23.134283
135,18.986656
136,22.789726
137,4.92722
138,15.90679
139,32.858196
140,24.940908
141,17.828417
142,25.353304
143,26.58853
144,11.498814
145,35.389454
146,5.29799
147,12.41625
148,19.825274
149,15.544992
150,21.49895
151,7.7631297
152,21.624897
153,4.308193
154,33.669815
155,16.882227
156,16.367985
157,27.199518
158,17.584381
159,17.675535
160,17.98525
161,23.376966
162,12.357971
163,15.361084
164,15.924578
165,24.373745
166,27.847893
167,16.711138
168,28.206305
169,17.235676
170,11.773062
171,11.581566
172,25.45851
173,39.58461
174,21.869354
175,5.2549567
176,6.4572577
177,33.444157
178,29.171518
179,24.15776
180,16.125889
181,24.216932
182,26.364172
183,9.533855
184,19.67986
185,9.896185
186,19.518764
187,5.0998588
188,12.728569
189,25.92499
190,4.1954117
191,23.541693
192,25.483557
193,6.9812536
194,10.981396
195,30.394243
196,6.358062
197,27.34055
198,11.607784
199,18.731054
200,24.181957
201,16.378393
202,23.251097
203,12.160452
204,27.079538
205,21.615236
206,12.858213
207,28.761312
208,16.45805
209,7.4073963
210,8.982306
211,16.430979
212,31.489079
213,5.538907
214,10.953104
215,13.308878
216,6.7568808
217,13.3164215
218,10.399538
219,9.974659
220,15.256887
221,7.558394
222,14.170036
223,12.903025
224,24.537807
225,20.842562
226,14.401962
227,7.1750083
228,10.215509
229,33.009212
230,15.656153
231,7.281995
232,13.877085
233,21.297878
234,9.846012
235,32.788242
236,19.162085
237,20.291452
238,20.387306
239,31.744427
240,11.872112
241,27.318499
242,28.067335
243,29.199017
244,11.701729
245,10.243315
246,15.458452
247,27.219032
248,19.376972
249,11.839142
250,22.028074
251,15.741493
252,20.733328
253,10.909796
254,12.30953
255,9.515148
256,6.405521
257,19.361181
258,14.356783
259,4.3939934
260,13.504318
261,2.7881346
262,5.6534915
263,21.32956
264,15.133009
265,5.495943
266,24.937489
267,26.101213
268,6.93488
269,12.148375
270,14.336908
271,7.2212906
272,20.57933
273,10.372797
274,8.3306055
275,16.908764
276,20.389063
277,7.972052
278,15.192627
279,17.221094
280,20.674154
281,20.457245
282,17.981041
283,24.952814
284,17.165646
285,21.419315
286,22.398306
287,28.571743
288,5.752008
289,19.62994
290,12.690113
291,17.20885
292,3.3759754
293,3.736151
294,22.475603
295,15.0977745
296,5.8756447
297,23.348768
298,10.457052
299,9.950411
300,11.947054
301,22.29283
302,10.018751
303,17.694046
304,12.519577
305,17.896858
306,21.789804
307,30.38349
308,13.351946
309,11.571436
310,10.674345
311,24.275637
312,8.833376
313,23.76593
314,18.346073
315,16.3411
316,28.295406
317,18.809008
318,18.75194
319,16.216423
320,3.2723577
321,6.104879
322,26.142984
323,18.60646
324,7.1751738
325,19.941833
326,3.4246724
327,24.209124
328,18.527872
329,24.69729
330,9.288307
331,24.74949
332,12.403467
333,5.690071
334,12.129959
335,12.467548
336,24.01054
337,7.1982145
338,10.031448
339,22.123053
340,14.095358
341,8.924852
342,21.07473
343,15.321615
344,4.4073315
345,18.925125
346,28.29559
347,22.488194
348,19.149797
349,17.658173
350,7.5361285
351,23.603933
352,17.22102
353,13.983955
354,5.856436
355,18.053017
356,23.441727
357,17.67072
358,22.99891
359,15.18442
360,5.9376793
361,19.209356
362,8.65506
363,13.324709
364,18.351337
365,33.83572
366,16.23766
367,15.466469
368,6.1104755
369,13.278233
370,16.006514
371,15.923504
372,17.474083
373,11.643211
374,3.6455805
375,12.8435135
376,8.333978
377,9.50729
378,15.418873
379,19.63833
380,26.697868
381,15.237383
382,10.145996
383,21.071644
384,3.3604174
385,14.390774
386,15.884411
387,16.848307
388,15.089663
389,15.791979
390,30.554167
391,11.223204
392,29.455618
393,17.913225
394,8.073608
395,15.274761
396,29.10669
397,18.645338
398,22.876768
399,12.872513
400,15.26042
401,19.142996
402,6.5289903
403,31.644627
404,32.50307
405,11.489456
406,8.599836
407,24.68035
408,12.476614
409,16.93497
410,19.468122
411,7.4319005
412,24.880032
413,12.622614
414,8.455716
415,18.857954
416,20.238218
417,25.139196
418,25.930109
419,10.238411
420,16.241272
421,4.196785
422,7.9978204
423,10.998547
424,21.111752
425,13.695124
426,17.676012
427,8.68165
428,32.990253
429,22.394806
430,10.519918
431,19.226357
432,15.696436
433,13.465502
434,7.0275373
435,21.930962
436,34.31598
437,12.949459
438,3.7788806
439,3.4868994
440,6.668047
441,5.8382416
442,20.283932
443,18.917068
444,18.649908
445,3.6769297
446,3.4612958
447,14.20458
448,25.3627
449,23.805294
450,15.496901
451,8.348692
452,27.374527
453,14.073254
454,11.892292
455,9.774435
456,24.262857
457,17.354378
458,20.873869
459,6.05062
460,21.721098
461,8.866846
462,15.303446
463,15.328215
464,6.86072
465,10.025564
466,8.578975
467,7.3651085
468,10.715261
469,24.09084
470,17.862728
471,11.8222275
472,23.836634
473,9.20492
474,14.003788
475,6.70324
476,13.222963
477,18.095201
478,23.484669
479,23.389664
480,23.924028
481,20.950737
482,27.500366
